Inst.  Date     Time      X   Y  Dist. Counts   Geog.Pos.    Geomag.Pos.    MLT
WIC_2000_0516_17:47:17  120 133  51460  7790  69.04  84.96  63.97 158.94  23.76
WIC_2000_0518_09:55:40   83 134  42786  7948  67.46 191.68  64.23 245.74  21.51
WIC_2000_0519_13:40:22   58 156  38232  3082  71.79 166.96  66.53 225.19  23.66
WIC_2000_0520_02:49:06  105 157  28971  1508  59.07 294.52  68.02  17.79  23.31
WIC_2000_0520_04:43:06   98 140  43296  2532  56.13 269.26  66.66 337.70  22.51
WIC_2000_0520_16:38:04   43 107  24449  6571  73.14  61.43  68.21 139.87  20.99
WIC_2000_0521_00:08:45  143 141  49883  5979  74.88  39.57  70.51 124.15   3.91
WIC_2000_0521_23:31:40   83 143  43892  3715  64.34 357.29  62.64  82.88   0.56
WIC_2000_0523_05:35:49  101 163  49985  3725  54.56 278.08  65.29 351.82   0.31
WIC_2000_0523_17:09:38   56 137  37279  5780  72.19  82.81  66.96 157.62  22.86
WIC_2000_0523_20:14:08  116 115  50935  6649  71.94  15.08  68.97 102.88  22.67
WIC_2000_0524_05:46:12  110 250  21321  7557  49.16 261.46  59.13 326.88  22.82
WIC_2000_0524_09:36:36   94 155  48700  8814  59.76 212.74  59.84 267.27  22.64
WIC_2000_0524_19:56:37   51  94  20572 11108  65.96   4.74  63.63  89.79  21.51
WIC_2000_0525_10:05:32   18 164  19476  6936  68.41 177.52  63.68 235.05  20.94
WIC_2000_0526_03:50:35  120 129  47043  4861  52.06 265.55  62.45 332.44  21.28
WIC_2000_0526_06:49:06  133 154  52023  4814  59.37 257.15  68.52 318.03  23.25
WIC_2000_0526_08:39:26  148 165  48657  5430  59.08 244.54  66.00 300.77  23.94
WIC_2000_0527_09:05:12   92 149  49631  5157  61.74 214.36  62.17 267.52  22.14
WIC_2000_0528_11:01:30   31 170  37287  3936  68.04 205.75  66.96 255.74  23.20
WIC_2000_0528_11:43:37   63 125  41934  5657  71.94 149.08  66.04 212.49  20.98
WIC_2000_0528_16:40:36  138 137  50940  5998  73.02 110.37  67.30 181.40  23.78
WIC_2000_0528_23:16:33   32  37  16586  8580  60.15 301.17  67.93  27.31  20.61
WIC_2000_0529_03:11:11   97 158  47730  4218  55.62 300.86  63.49  25.38   0.15
WIC_2000_0529_04:13:25  110 153  50669  4178  49.65 278.52  60.55 352.30  22.97
WIC_2000_0529_14:32:14   43 130  29016  7838  73.90 103.90  68.21 175.83  21.08
WIC_2000_0529_19:51:34  103 156  52096  4061  66.28  91.29  61.23 164.54   2.40
WIC_2000_0529_21:34:02  142 154  50020 10811  66.18  51.51  61.71 128.06   1.66
WIC_2000_0530_04:58:19   87 175  30991  4676  56.68 263.37  66.71 328.34  22.11
WIC_2000_0530_08:11:00   95 140  49442  8269  64.00 216.73  64.92 268.08  21.27
WIC_2000_0530_12:38:02  156 161  47413  5507  64.40 225.44  67.13 275.85   2.05
WIC_2000_0530_20:24:17   58 148  40563  4804  69.43  41.53  65.15 121.27   0.07
WIC_2000_0531_02:53:55  165 156  47287  5817  63.41 320.00  67.49  50.62   1.55
WIC_2000_0531_23:43:27   88 117  31499  3136  60.33 311.17  66.13  39.54  21.86
WIC_2000_0601_14:01:02   39 153  32057  4287  73.96 139.92  68.00 204.38  22.52
WIC_2000_0601_16:23:32   86 130  46999  3852  73.47  92.05  68.00 165.80  22.36
WIC_2000_0602_04:06:40   99 145  30767 10463  59.90 259.55  69.36 321.50  20.79
WIC_2000_0602_06:45:13   97 150  47495  4857  61.50 243.93  68.23 298.60  21.87
WIC_2000_0602_11:50:22  168 150  47238  5104  69.60 198.78  67.46 249.07  23.51
WIC_2000_0602_20:46:47   96 124  46686  5468  71.48  11.28  68.79  99.58  22.99
WIC_2000_0603_01:29:53  167 138  49186  7446  65.10 316.40  69.89  48.10   0.08
WIC_2000_0603_11:02:26   83 144  46803  5395  68.59 183.03  64.41 238.76  22.07
WIC_2000_0606_00:22:04  223 154  49973  5389  66.39   6.45  63.94  91.43   1.92
WIC_2000_0606_09:20:33  157 190  42676  3786  56.76 248.46  64.50 306.93   0.99
WIC_2000_0606_14:11:38  221 148  50860  9030  70.16 166.58  64.77 226.19   0.11
WIC_2000_0607_03:13:01  225 146  52076  4262  58.51 288.89  68.26   9.27  23.08
WIC_2000_0608_03:19:20  220 176  38129  5255  57.18 292.67  66.47  14.60  23.54
WIC_2000_0608_06:40:03  203 174  51484  4717  52.41 261.31  62.32 326.11  23.60
WIC_2000_0608_09:16:37  217 148  50018  9811  68.86 220.44  70.47 267.02  22.26
WIC_2000_0608_18:29:06  215 120  43829 10745  67.74  28.42  63.94 109.59  21.25
WIC_2000_0609_06:42:19  180 228  28889  3967  55.61 255.82  64.67 317.41  23.06
WIC_2000_0609_08:00:33  215 171  39655  3292  64.32 233.86  68.84 284.64  22.17
WIC_2000_0610_00:50:41  204 155  50600  4748  65.87 346.50  65.58  75.53   1.29
WIC_2000_0610_12:53:49  211 129  42267  9521  76.73 131.83  70.70 196.46  20.96
WIC_2000_0611_04:07:33  238 149  47063  5184  56.55 264.34  66.69 329.86  21.34
WIC_2000_0612_07:46:21  202 187  43256  8988  56.81 250.11  64.86 309.09  23.55
WIC_2000_0612_14:17:42  249 134  45034 10590  76.29 129.06  70.26 194.77  22.08
WIC_2000_0614_01:02:23   46 145  33344  3893  56.94 293.59  66.10  15.87  21.48
WIC_2000_0614_08:05:51  216 182  48586  5503  54.02 262.31  64.01 327.28   1.08
WIC_2000_0614_15:03:48  129 167  31471  6753  74.86 166.03  69.72 221.59   0.54
WIC_2000_0614_19:18:37  200 149  51576  6624  70.62  80.40  65.53 155.14   1.18
WIC_2000_0615_08:11:44  209 164  48638  3104  63.20 236.57  68.34 288.55  22.60
WIC_2000_0615_12:20:34  179 154  49256  4551  56.62 244.84  63.64 302.35   3.49
WIC_2000_0617_00:45:25  235 154  37760  4718  63.03 310.28  69.02  39.97  22.81
WIC_2000_0621_04:50:26  196 180  40856  2296  58.47 270.20  68.95 338.93  22.62
WIC_2000_0621_19:42:12  163 152  44384  4694  73.25  78.22  68.01 153.96   1.48
WIC_2000_0622_00:22:16  195 160  50559  9562  65.47   9.72  62.71  93.32   2.00
WIC_2000_0622_08:08:54  130 214  32106  3087  60.37 249.83  68.27 307.05  23.76
WIC_2000_0622_12:28:28  174 152  51735  4376  68.01 207.47  67.22 257.11   0.57
WIC_2000_0622_13:05:16  175 142  52060  4116  68.79 219.16  70.15 265.97   1.72
WIC_2000_0623_02:18:56  210 155  51245  4364  62.45 301.90  70.04  29.32  23.51
